Date	MSCI USA Quality GARP Select Index
2002-11-29	1000
2002-12-31	931.234115
2003-01-31	903.669952
2003-02-28	893.990472
2003-03-31	902.973696
2003-04-30	982.151422
2003-05-30	1039.553037
2003-06-30	1049.172714
2003-07-31	1077.870167
2003-08-29	1113.776151
2003-09-30	1092.64128
2003-10-31	1145.221207
2003-11-28	1156.754078
2003-12-31	1201.436755
2004-01-30	1226.247127
2004-02-27	1242.395569
2004-03-31	1229.452901
2004-04-30	1217.337263
2004-05-31	1237.032621
2004-06-30	1258.873375
2004-07-30	1201.866969
2004-08-31	1200.68253
2004-09-30	1232.79901
2004-10-29	1249.928415
2004-11-30	1304.188357
2004-12-31	1355.470641
2005-01-31	1322.908542
2005-02-28	1347.996766
2005-03-31	1321.751642
2005-04-29	1278.728633
2005-05-31	1346.334307
2005-06-30	1366.0693
2005-07-29	1432.608097
2005-08-31	1408.698382
2005-09-30	1420.541721
2005-10-31	1395.414494
2005-11-30	1455.793382
2005-12-30	1457.103925
2006-01-31	1490.418242
2006-02-28	1484.563857
2006-03-31	1503.209822
2006-04-28	1521.541246
2006-05-31	1459.985118
2006-06-30	1459.946195
2006-07-31	1430.757159
2006-08-31	1460.37463
2006-09-29	1505.550708
2006-10-31	1562.584572
2006-11-30	1598.697757
2006-12-29	1597.88119
2007-01-31	1637.646272
2007-02-28	1610.003158
2007-03-30	1619.498609
2007-04-30	1686.000678
2007-05-31	1749.716939
2007-06-29	1729.761448
2007-07-31	1690.694341
2007-08-31	1714.997457
2007-09-28	1773.166218
2007-10-31	1833.281611
2007-11-30	1749.910371
2007-12-31	1762.797817
2008-01-31	1633.695512
2008-02-29	1592.873913
2008-03-31	1564.447328
2008-04-30	1655.650099
2008-05-30	1712.520918
2008-06-30	1581.147872
2008-07-31	1533.817776
2008-08-29	1563.339977
2008-09-30	1376.090721
2008-10-31	1107.680929
2008-11-28	1013.30076
2008-12-31	1039.891562
2009-01-30	989.280869
2009-02-27	898.066667
2009-03-31	976.730121
2009-04-30	1086.779153
2009-05-29	1143.537467
2009-06-30	1156.623192
2009-07-31	1235.981597
2009-08-31	1268.922813
2009-09-30	1325.978278
2009-10-30	1302.591105
2009-11-30	1380.888643
2009-12-31	1429.446945
2010-01-29	1372.808372
2010-02-26	1424.89947
2010-03-31	1508.998876
2010-04-30	1532.616015
2010-05-31	1405.545287
2010-06-30	1321.933809
2010-07-30	1411.783084
2010-08-31	1346.327542
2010-09-30	1494.627625
2010-10-29	1569.206697
2010-11-30	1584.713046
2010-12-31	1673.344519
2011-01-31	1721.873484
2011-02-28	1770.129884
2011-03-31	1784.574774
2011-04-29	1844.056524
2011-05-31	1834.354272
2011-06-30	1825.280431
2011-07-29	1808.541349
2011-08-31	1709.188395
2011-09-30	1570.219663
2011-10-31	1756.853419
2011-11-30	1748.700936
2011-12-30	1735.491255
2012-01-31	1853.372863
2012-02-29	1939.970563
2012-03-30	1994.095552
2012-04-30	1985.934053
2012-05-31	1852.441559
2012-06-29	1902.177372
2012-07-31	1928.869337
2012-08-31	1987.135226
2012-09-28	2026.807398
2012-10-31	1978.674772
2012-11-30	2001.169776
2012-12-31	2021.25846
2013-01-31	2122.004394
2013-02-28	2139.559847
2013-03-29	2224.27297
2013-04-30	2273.11775
2013-05-31	2346.259783
2013-06-28	2296.907508
2013-07-31	2416.966534
2013-08-30	2383.288075
2013-09-30	2484.248904
2013-10-31	2583.515774
2013-11-29	2685.045497
2013-12-31	2752.878288
2014-01-31	2643.728072
2014-02-28	2793.477299
2014-03-31	2790.283144
2014-04-30	2791.501437
2014-05-30	2866.095582
2014-06-30	2919.815564
2014-07-31	2899.637188
2014-08-29	3027.864087
2014-09-30	2968.494632
2014-10-31	3026.241757
2014-11-28	3102.71956
2014-12-31	3093.831244
2015-01-30	3017.92712
2015-02-27	3223.235907
2015-03-31	3196.327646
2015-04-30	3196.849095
2015-05-29	3254.548255
2015-06-30	3228.338987
2015-07-31	3281.277142
2015-08-31	3048.717251
2015-09-30	2957.046584
2015-10-30	3167.103298
2015-11-30	3168.189041
2015-12-31	3095.349531
2016-01-29	2872.579392
2016-02-29	2883.317732
2016-03-31	3095.310733
2016-04-29	3071.007177
2016-05-31	3114.829935
2016-06-30	3052.595269
2016-07-29	3191.113917
2016-08-31	3206.619979
2016-09-30	3195.878721
2016-10-31	3110.325468
2016-11-30	3246.999989
2016-12-30	3287.965567
2017-01-31	3372.554145
2017-02-28	3514.0772
2017-03-31	3527.758067
2017-04-28	3582.777518
2017-05-31	3645.792103
2017-06-30	3665.866363
2017-07-31	3734.63996
2017-08-31	3769.143191
2017-09-29	3853.194304
2017-10-31	3929.725431
2017-11-30	4068.376787
2017-12-29	4123.812769
2018-01-31	4391.405495
2018-02-28	4249.345497
2018-03-30	4166.606078
2018-04-30	4167.806153
2018-05-31	4283.61962
2018-06-29	4278.851508
2018-07-31	4443.60789
2018-08-31	4608.520151
2018-09-28	4618.132184
2018-10-31	4211.637409
2018-11-30	4229.906976
2018-12-31	3827.788551
2019-01-31	4218.222819
2019-02-28	4346.250293
2019-03-29	4421.746409
2019-04-30	4618.701913
2019-05-31	4282.471634
2019-06-28	4586.990516
2019-07-31	4708.042303
2019-08-30	4622.390279
2019-09-30	4688.52947
2019-10-31	4854.580461
2019-11-29	5059.815708
2019-12-31	5215.847408
2020-01-31	5196.67857
2020-02-28	4812.959333
2020-03-31	4175.608599
2020-04-30	4770.895701
2020-05-29	5137.15223
2020-06-30	5269.267465
2020-07-31	5587.156006
2020-08-31	6029.333951
2020-09-30	5825.000785
2020-10-30	5627.01458
2020-11-30	6284.436604
2020-12-31	6550.523454
2021-01-29	6455.785792
2021-02-26	6657.610522
2021-03-31	6868.840759
2021-04-30	7292.196491
2021-05-31	7293.432583
2021-06-30	7694.376796
2021-07-30	7955.614975
2021-08-31	8177.270198
2021-09-30	7705.412061
2021-10-29	8217.509864
2021-11-30	8260.572423
2021-12-31	8437.463254
2022-01-31	7759.468122
2022-02-28	7401.991565
2022-03-31	7511.836345
2022-04-29	6820.951695
2022-05-31	6861.703683
2022-06-30	6140.010546
2022-07-29	6831.04266
2022-08-31	6507.752756
2022-09-30	5872.976726
2022-10-31	6298.48344
2022-11-30	6735.331865
2022-12-30	6263.541667
2023-01-31	6805.846108
2023-02-28	6623.924668
2023-03-31	6872.70809
2023-04-28	6953.611361
2023-05-31	7020.671868
2023-06-30	7564.449652
2023-07-31	7858.415128
2023-08-31	7796.896969
2023-09-29	7390.58717
2023-10-31	7263.180651
2023-11-30	8004.771826
2023-12-29	8425.370954
2024-01-31	8596.27171
2024-02-29	9270.101796
2024-03-29	9487.085725
2024-04-30	9147.834732
2024-05-31	9601.30972
2024-06-28	10223.552548
2024-07-31	10107.769246
2024-08-30	10268.630799
2024-09-30	10546.505302
2024-10-31	10323.189017
2024-11-29	11065.557934
2024-12-31	11110.882693
2025-01-31	11518.428766
2025-02-28	11035.563743
2025-03-31	10092.930513
2025-04-30	10335.018941
2025-05-30	11246.110271
2025-06-30	11952.073134
2025-07-31	12156.144978
2025-08-29	12339.169587
2025-09-30	13015.853683
2025-10-31	13637.823646
2025-11-28	13423.062839
2025-12-31	13508.087938
2026-01-30	13794.937819
2026-02-27	13481.412594